Name,Price,Image,Screen,CPU,RAM,Graphics,OS,Weight,Link
MSI Prestige PS42 i5 8250U (476VN),19.990.000₫,https://cdn.tgdd.vn/Products/Images/44/194260/msi-prestige-ps42-i5-8250u-4gb-256gb-14-win10-33397-thumb-123-600x600.jpg,"Màn hình: 14 inch, Full HD","CPU: Core i5 Kabylake Refresh, 1.60 GHz","RAM: 4 GB, Ổ cứng SSD 256GB NVMe PCIe",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng 1.18kg, PIN 4 cell",https://www.thegioididong.com/laptop/msi-prestige-ps42-i5-8250u-4gb-256gb-14-win10
MSI GF63 8RD i7 8750H (221VN),26.990.000₫,https://cdn.tgdd.vn/Products/Images/44/187931/msi-gf63-8rd-221vn-thumb-600x600.jpg,"Màn hình: 15.6 inch, Full HD","CPU: Core i7 Coffee Lake, 2.20 GHz","RAM: 8 GB, HDD: 1 TB + SSD: 128GB, Hỗ trợ khe cắm SSD M.2 PCIe","Đồ họa: NVIDIA GeForce GTX 1050Ti, 4GB",HĐH: Windows 10 Home SL,"Nặng: 1.86 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/msi-gf63-8rd-221vn
Lenovo Ideapad 130 14IKB i3 7020U (81H60016VN),8.990.000₫,https://cdn.tgdd.vn/Products/Images/44/200507/lenovo-ideapad-130-14ikb-i3-7020u-4gb-1tb-81h6001-1-600x600.jpg,"Màn hình: 14 inch, HD","CPU: Core i3 Kabylake, 2.30 GHz","RAM: 4 GB, HDD: 1 TB SATA3",Đồ họa: Intel® UHD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.54 kg, Pin: 2 cell",https://www.thegioididong.com/laptop/lenovo-ideapad-130-14ikb-i3-7020u-4gb-1tb-81h6001
Lenovo Ideapad 330 15IKBR i3 7020U (81DE00LDVN),9.690.000₫,https://cdn.tgdd.vn/Products/Images/44/193433/lenovo-ideapad-330-15ikbr-i3-7020u-4gb-1tb-156-win-hinhchitiet-600x600.jpg,"Màn hình: 15.6 inch, HD","CPU: Core i3 Kabylake, 2.30 GHz","RAM: 4 GB, HDD: 1 TB",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 2kg, Pin: 2 cell",https://www.thegioididong.com/laptop/lenovo-ideapad-330-15ikbr-7020u-81de00ldvn
Lenovo Ideapad 330 14IKBR i3 7020U (81G2001AVN),10.290.000₫,https://cdn.tgdd.vn/Products/Images/44/185314/lenovo-ideapad-330-14ikb-81g2001avn-33397-thumb-600x600.jpg,"Màn hình: 14 inch, Full HD","CPU: Core i3 Kabylake, 2.30 GHz","RAM: 4 GB, SSD: 128 GB",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 2.2 Kg, Pin: 2 cell",https://www.thegioididong.com/laptop/lenovo-ideapad-330-14ikb-81g2001avn
Lenovo IdeaPad 330 15IKB i3 8130U (81DE020YVN),10.990.000₫,https://cdn.tgdd.vn/Products/Images/44/200506/lenovo-ideapad-330-15ikb-i3-8130u-4gb-16gb-1tb-81-16-5-600x600.jpg,"Màn hình: 15.6 inch, Full HD","CPU: Core i3 Coffee Lake, 2.20 GHz","RAM: 4 GB, HDD: 1 TB SATA3, Optane 16GB, (Hỗ trợ thay thế SSD PCIe)",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 2.2 kg, Pin: 2 cell",https://www.thegioididong.com/laptop/lenovo-ideapad-330-15ikb-i3-8130u-4gb-16gb-1tb-81
Lenovo Yoga 520 14IKB i3 7130U (80X80106VN),11.690.000₫,https://cdn.tgdd.vn/Products/Images/44/139279/lenovo-yoga-520-14ikb-i3-7130u-8080106vn-450x300.jpg,"Màn hình: 14 inch, HD","CPU: Core i3 Kabylake, 2.70 GHz","RAM: 4 GB, HDD: 500 GB",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.7 kg, Pin: 2 cell",https://www.thegioididong.com/laptop/lenovo-yoga-520-14ikb-i3-7130u-8080106vn
HP Pavilion 15 cs1009TU i5 8265U (5JL43PA),15.390.000₫,https://cdn.tgdd.vn/Products/Images/44/195383/hp-pavilion-15-cs1009tu-i5-8265u-4gb-1tb-win10-5j-thumb-33397-600x600.jpg,"Màn hình: 15.6 inch, Full HD","CPU: Core i5 Coffee Lake, 1.60 GHz","RAM: 4 GB, HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 PCIe",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.8 kg, Pin: 40mAh)",https://www.thegioididong.com/laptop/hp-pavilion-15-cs1009tu-i5-8265u-4gb-1tb-win10-5j
HP Pavilion 15 cs1044TX i5 8265U,16.390.000₫,https://cdn.tgdd.vn/Products/Images/44/196983/hp-pavilion-15-cs1044tx-i5-8265u-4gb-1tb-2gb-mx130-thumb-33397-thumb-600x600.jpg,"Màn hình: 15.6 inch, Full HD","CPU: Core i5 Coffee Lake, 1.60 GHz","RAM: 4 GB, HDD: 1 TB, Hỗ trợ khe cắm SSD M.2 PCIe","Đồ họa: NVIDIA MX130, 2GB",HĐH: Windows 10 Home SL,"Nặng: 1.87 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/hp-pavilion-15-cs1044tx-i5-8265u-4gb-1tb-2gb-mx130
HP Pavilion 14 ce1018TU i5 8265U (5RL41PA),16.390.000₫,https://cdn.tgdd.vn/Products/Images/44/196907/hp-pavilion-14-ce1018tu-i5-8265u-4gb-16gb-1tb-14f-1-1-1-1-600x600.jpg,"Màn hình: 14 inch, Full HD","CPU: Core i5 Coffee Lake, 1.60 GHz","RAM: 4 GB, HDD: 1 TB, (Hỗ trợ thay thế SSD PCIe hoặc M.2 SATA 3), Optane 16GB",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.59 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/hp-pavilion-14-ce1018tu-i5-8265u-4gb-16gb-1tb-14f
