"Name","Price","Image","Screen","CPU","RAM","Graphics","OS","Weight","Link"
"Asus Vivobook X507MA-BR316T/Pentium N5000//4G/256GB SSD/WIN10","7.790.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/3/28/636578276358777570_Asus-X507UA-BR167T.png","15.6 inchs LED Backlit","Intel Pentium N5000","4 GB DDR4 2400 MHz","Intel UHD Graphics Shared ","Windows 10 Home SL 64","1.73 kg","https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-x507ma-br316t-pentium-n5000"
"Asus Zenbook UX333FA-A4046T/Core i5-8265U/8GB/256GSSD/WIN10","22.490.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/12/18/636807445919258030_Asus-Zenbook-UX333FA-A4046T.png","13.3 inchs FHD","Intel Core i5 8265U","8 GB LPDDR3 2133 MHz","Intel UHD Graphics 620 Shared ","Windows 10 Home SL 64","0.94 KG (Without Battery)   1.19 KG (with 3 cell battery)","https://fptshop.com.vn//may-tinh-xach-tay/asus-zenbook-ux333fa-a4046t-core-i5-8265u"
"Asus TUF FX505GD-BQ324T/Core i5-8300H/8GB/1TB/1050 4GB/WIN10","22.390.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/1/4/636822124020970771_Asus TUF FX505GD-BQ324T.png","15.6 inchs FHD","Intel Core i5 8300H","8 GB DDR4 2666 MHz","GTX 1050 4 GB","Windows 10 Home","2.2Kg","https://fptshop.com.vn//may-tinh-xach-tay/asus-tuf-fx505gd-bq324t-core-i5-8300h"
"Asus F570ZD-E4297T/R5-2500/4GB/1TB/1050 4GB/WIN10","15.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/28/636710689183153217_Asus-F560UD.png","15.6 inchs Anti - Glare","AMD Quad Core R5 R5-2500U","4 GB DDR4 2400 MHz","GeForce GTX 1050 4 GB","Windows 10 Home SL 64","1.96 kg","https://fptshop.com.vn//may-tinh-xach-tay/asus-f570zd-e4297t-r5-2500"
"Asus Vivobook X407UA-BV537T/Core i3-7020U/4GB/1TB/WIN10","9.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/11/15/636778725653892825_Asus-Vivobook-X407UA.png","14.0 inchs HD LED backlit","Intel Core i3 7020U","4 GB DDR4 2400 MHz","Intel® HD graphics Shared ","Windows 10 Home","1.5 KG","https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-x407ua-bv537t-core-i3-7020u"
"Asus Vivobook S430FA-EB033T/Core I3-8145U/4GB/256GB SSD/WIN10","14.390.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/9/4/636716692813199993_Asus-S13-14.png","14.0 inchs FHD","Intel Core i3 8145U","4 GB DDR4 2400 MHz","Intel UHD Graphics 620 Shared ","Windows 10 Home SL 64","1.4Kg","https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-s430fa-eb033t-core-i3-8145u"
"Asus Zenbook UX333FA-A4181T/Core i5-8265U/8GB/256GSSD/WIN10","22.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/3/6/636874650443173316_asus-zenbook-ux333fa-a4181t-daidien.png","13.3 inchs IPS FHD","Intel Core i5 Không","8 GB LPDDR3 2133 MHz","Intel UHD Graphics 620 Shared ","Windows 10 Home SL 64","0.94 KG (Without Battery) 1.19 KG (with 3 cell battery)","https://fptshop.com.vn//may-tinh-xach-tay/asus-zenbook-ux333fa-a4181t-core-i5-8265u"
"Asus Vivobook X507UA-BR426T/Core I5-8250U/4GB/1TB/WIN10","13.290.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/3/28/636578276358777570_Asus-X507UA-BR167T.png","15.6 inchs HD Touch","Intel Core i5 Không","4 GB DDR4 2400 MHz","Intel UHD Graphics  Shared ","Windows 10 Home SL 64","1.68KG","https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-x507ua-br426t-core-i5-8250u"
"Asus Vivobook S430FA-EB069T/Core I3-8145U/4GB/1TB/WIN10","13.890.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/3/16/636883246518568380_asus-vivobook-s14-s430fa-eb069t-dd.png","14.0 inchs FHD","Intel Core i3 8145U","4 GB DDR4 2666 MHz","Intel UHD Graphics 620 Shared ","Windows 10 Home","1.4Kg","https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-s430fa-eb069t-core-i3-8145u"
"Asus Vivobook X407UA-BV489T/Core i5 8250U/4GB+16GB Optane/1TB/WIN10","13.390.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/11/28/636789998486762152_Asus-Vivobook-X407UA-BV489T.png","14.0 inchs HD LED backlit","Intel Core i5 8250U","4GB + 16GB Optane DDR4 2400 MHz","Intel UHD Graphics 620 Shared ","Windows 10 Home","1.52 kg","https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-x407ua-bv489t-core-i5-8250u"
"Asus F560UD-BQ327T/Core i5-8250U/8GB/1TB/GTX1050 2G/WIN10","16.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/28/636710689183153217_Asus-F560UD.png","15.6 inchs IPS FHD","Intel Core i5 8250U","8 GB DDR4 2133 MHz","Geforce GTX 1050 2 GB","Windows 10 Home SL 64","1.97 kg","https://fptshop.com.vn//may-tinh-xach-tay/asus-f560ud-bq327t-core-i5-8250u"
"Asus TUF FX505GE-BQ308T-G/Core I7-8750H/8GB/1TB/15.6FHD/Nvidia GTX1050Ti 4G","26.190.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/12/4/636795360491080000_ASUS-TUF-Gaming-FX505.png","15.6 inchs IPS FHD","Intel Core i7 8750H","8 GB DDR4 2666 MHz","NVIDIA GeForce GTX 1050 Ti 4 GB","Windows 10 Home SL 64","2.2Kg","https://fptshop.com.vn//may-tinh-xach-tay/asus-tuf-fx505ge-bq308t-g-core-i7-8750h"
"Asus Vivobook X507UF-EJ257T/Core i7-8550U/4G/1TB/MX130_2GB/WIN10","17.090.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/3/28/636578276358777570_Asus-X507UA-BR167T.png","15.6 inchs FHD","Intel Core i7 8550U","4 GB DDR4 2400 MHz","NVIDIA GeForce MX130 ","Windows 10 Home SL 64","1.68 kg","https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-x507uf-ej257t-core-i7-8550u"
"Masstel L133 Celeron N3350 128GB","5.690.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/2/22/636549179165928759_Masstel-L133.png","13.3 inch IPS/Full HD","Intel Celeron N3350 Celeron N3350","3GB LPDDR3 1600 MHz","Intel (R) HD Graphics 500 Share","Windows 10  dùng thử","1.2 Kg","https://fptshop.com.vn//may-tinh-xach-tay/masstel-l133-celeron-n3350-128gb"
