"Brand","Price","Image","Screen","CPU","RAM","VGA","OS","Weight","Link"
"HP",9490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/9/15/636410683569855871_HP-15-bs559TU.png",15.6,"intel Core i3 6006U",4,"Intel® HD Graphics 520 Shared","Windows 10 Home 64",1.9,"https://fptshop.com.vn//may-tinh-xach-tay/HP-15-bs642TUCore-i3-6006U"
"HP",13990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/3/28/636578288873019912_HP-15-bs153TU.png",15.6,"Intel Core i5 8250U",4,"Intel® UHD Graphics 620 Shared","Windows 10 Home 64",1.86,"https://fptshop.com.vn//may-tinh-xach-tay/HP-15-bs153TUCore-i5-8250U"
"HP",12690000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/14/636383202372532155_HP-Pavilion-x360-14-ba066TU.png",14,"intel Core i3 7100U",4,"Intel HD Graphics 620 Shared","Windows 10 Home Single Language 64-Bit",1.74,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-x360-14-ba080tu"
"HP",14490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/9/15/636410683569855871_HP-15-bs559TU.png",15.6,"Intel Core i5 8250U ",4,"NVIDIA® GeForce® MX110 2 GB","Windows 10 Home Single Language 64",1.77,"https://fptshop.com.vn//may-tinh-xach-tay/hp-15-da0033tx-core-i5-8250u"
"HP",19990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/14/636383166870981625_HP-Pavilion-15-cc045TX.png",15.6,"Intel Core™ i7 8550U",4,"NVIDIA GeForce MX130 2 GB","Windows 10 Home Single Language 64-Bit ",1.86,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-15-cs0104tx-i7-8550u"
"HP",14990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/9/15/636410683569855871_HP-15-bs559TU.png",15.6,"Intel Core i5 8265U",4,"NVIDIA® GeForce® MX110 2 GB","Windows 10 Home",1.77,"https://fptshop.com.vn//may-tinh-xach-tay/hp-15-da1031tx-core-i5-8265u"
"HP",15290000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/17/636700896982860818_HASP LAPTOP HP 14 CE0031TU-8.jpg",14,"Intel Core i5 8265U",4,"intel Shared ","Windows 10 Home",1.6,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-14-ce1016tu-core-i5-8265u"
"HP",27490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/16/636384743489659561_HP-Envy-13-ad076TU.png",13.3,"Intel Core i7 Không",8,"Intel® UHD Graphics 620 Shared ","Windows 10 Home SL 64",1.28,"https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-13-ah1012tu-core-i7-8565u"
"HP",7390000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/9/15/636410683569855871_HP-15-bs559TU.png",15.6,"Intel Pentium N5000",4,"Intel® HD Graphics Shared ","Windows 10 Home",1.77,"https://fptshop.com.vn//may-tinh-xach-tay/hp-15-da0108tu-pentium-n5000"
"HP",7290000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/9/15/636410683569855871_HP-15-bs559TU.png",15.6,"intel Pentium N5000",4,"Intel® UHD Graphics 605 Shared","Windows 10 Home Single Language 64",1.77,"https://fptshop.com.vn//may-tinh-xach-tay/hp-15-da0047tu-pentium-n5000"
"HP",13490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/14/636383202372532155_HP-Pavilion-x360-14-ba066TU.png",14,"Intel Core i3 8145U",4,"Intel UHD Graphics 620  Không","Windows 10 Home SL 64",1.66,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-x360-14-cd1018tu-core-i3-8145u"
"Acer",12990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png",15.6,"Intel Core i5 8250U",4,"NVIDIA® GeForce® MX130 2 GB","Linux",1.83,"https://fptshop.com.vn//may-tinh-xach-tay/acer-a315-53g-5790"
"Acer",8690000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869499697984561_acer-e5-476-daidien.png",14,"Intel Core i3 7020U",4,"Intel® HD Graphics 620 Shared","Linux",1.9,"https://fptshop.com.vn//may-tinh-xach-tay/acer-e5-476-33bq"
"Acer",31990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869511384415304_acer-predator-helios-300-ph315-daidien.png",15.6,"intel core i7 8750H",8,"NVIDIA GeForce GTX 1060 (GDDR5 SDRAM, Bus Width: 192 Bit); Intel UHD Graphics 630 6 GB","Linux",2.59,"https://fptshop.com.vn//may-tinh-xach-tay/acer-predator-helios-300-ph315-51-7533"
"Acer",20990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869586841555028_acer-nitro-an515-daidien.png",15.6,"Intel Core i5 8300H",8,"NVIDIA GeForce GTX 1050 4 GB","FreeDOS",2,"https://fptshop.com.vn//may-tinh-xach-tay/acer-nitro-an515-52-51gf"
"Acer",23990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869586841555028_acer-nitro-an515-daidien.png",15.6,"intel core i7 8750H",8,"NVIDIA GeForce GTX 1050Ti 4 GB GDDR5","Linux",2.42,"https://fptshop.com.vn//may-tinh-xach-tay/acer-nitro-5-an515-52-75ft"
